Evento;Data;Resumo;Fonte 1;Fonte 2;Grau de Evidência;Dano Social;Status;País;Categoria;Prioridade de Verificação
COVID-19 origin theories (lab leak vs zoonosis);2019–present;"Discussões entre hipóteses zoonóticas e acidente de laboratório; investigações e relatórios continuam sem consenso definitivo.";https://en.wikipedia.org/wiki/COVID-19_origins_investigation;https://cdn.who.int/media/docs/default-source/documents/epp/sago/independent-assessment-of-the-origins-of-sars-cov-2-by-sago.pdf;Média;Alto;Inconclusiva;;;
HAARP (conspirações de controle climático);1990s–present;"Programa de pesquisa ionosférica frequentemente acusado de causar terremotos/clima; cientistas explicam limitações técnicas do HAARP.";https://en.wikipedia.org/wiki/High-frequency_Active_Auroral_Research_Program;https://haarp.gi.alaska.edu/;Baixa;Baixo;Desmentida;;;
Chemtrails (aeronaves pulverizando substâncias);1990s–present;"Teoria sugere que trilhas de condensação são substâncias químicas pulverizadas; estudos científicos mostram que são contrails de vapor d'água.";https://en.wikipedia.org/wiki/Chemtrail_conspiracy_theory;https://www.scientificamerican.com/article/debunking-chemtrail-theories/;Baixa;Moderado;Desmentida;;;
AIDS origin conspiracies (arma biológica);1980s–1990s;"Teorias alegaram que HIV foi criado ou disseminado deliberadamente; evidências genéticas e epidemiológicas apoiam origem zoonótica.";https://en.wikipedia.org/wiki/Origins_of_HIV_and_SIV;https://www.nature.com/articles/d42859-018-00008-6;Baixa;Alto;Desmentida;;;
Bilderberg / 'New World Order' narratives;1954–present;"Reuniões privadas de elites alimentaram teorias sobre controle global; encontros existem, mas provas de dominação unificada são fracas.";https://en.wikipedia.org/wiki/Bilderberg_Group;https://www.reuters.com/world/bilderberg-group-meets-sweden-amid-us-europe-tensions-2025-06-12/;Baixa;Moderado;Desmentida;;;
Princess Diana death conspiracy theories;31 Aug 1997;"Acidente de carro causou teorias de assassinato e encobrimento; investigações britânicas concluíram acidente por motorista embriagado e paparazzi.";https://en.wikipedia.org/wiki/Death_of_Diana,_Princess_of_Wales_conspiracy_theories;https://www.bbc.co.uk/news/uk-39442232;Baixa;Alto;Desmentida;;;
Jeffrey Epstein death theories;10 Aug 2019;"Morte em prisão que gerou alegações de assassinato e encobrimento devido a ligações com figuras poderosas; inquéritos e debates continuam.";https://en.wikipedia.org/wiki/Jeffrey_Epstein_death_conspiracy_theories;https://www.nytimes.com/2019/08/10/nyregion/jeffrey-epstein-suicide.html;Média;Alto;Inconclusiva;;;
Iran–Contra Affair (escândalo e teorias de encobrimento);mid-1980s;"Venda secreta de armas ao Irã e financiamento de Contras; confirmado por investigações e audiências públicas.";https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair;https://www.britannica.com/event/Iran-Contra-Affair;Alta (documentado);Alto;Comprovada;;;
Operation Mockingbird (alegações sobre controle da mídia);Cold War era;"Alegações de que a CIA influenciou jornalistas; documentos do Church Committee mostram casos de cooperação, embora escopo seja debatido.";https://en.wikipedia.org/wiki/Operation_Mockingbird;https://levin-center.org/frank-church-and-the-church-committee/;Média;Moderado;Parcialmente confirmada;;;
COINTELPRO (programa FBI de infiltração e desestabilização);1956–1971;"Programa do FBI para monitorar e minar grupos políticos; documentos confirmam práticas ilegais e operações encobertas.";https://en.wikipedia.org/wiki/COINTELPRO;https://www.britannica.com/topic/COINTELPRO;Alta (documentado);Alto;Comprovada;;;
Watergate (escândalo real);1972–1974;"Arrombamento e encobrimento político que levou à renúncia de Nixon; inicialmente visto por alguns como teoria do complô, depois comprovada.";https://en.wikipedia.org/wiki/Watergate_scandal;https://www.archives.gov/research/investigations/watergate;Alta (documentado);Alto;Comprovada;;;
Operation Paperclip (integração de cientistas nazistas nos EUA);pós-1945;"Programa secreto para recrutar cientistas alemães; confirmado por documentos e estudos históricos.";https://en.wikipedia.org/wiki/Operation_Paperclip;https://www.britannica.com/event/Operation-Paperclip;Alta;Moderado;Comprovada;;;
Operation Condor (represália na América do Sul);anos 1970;"Campanha coordenada de repressão estatal e violência em países sul-americanos; documentos confirmam participação de agências e violações.";https://en.wikipedia.org/wiki/Operation_Condor;https://nsarchive2.gwu.edu/NSAEBB/NSAEBB466/;Alta;Extremo;Comprovada;;;
Downing Street memo / pretexto para invasão do Iraque;2003/2005 (revelação);"Documentos sugeriram que inteligência tinha sido ajustada para apoiar a invasão do Iraque; alimentou teorias de manipulação política.";https://en.wikipedia.org/wiki/Downing_Street_memo;https://www.theguardian.com/world/2005/may/01/iraq.politics;Média;Alto;Parcialmente confirmada;;;
Iraq WMD claims and controversy;2003;"Alega-se que inteligência foi manipulada para justificar a guerra; inquéritos (Chilcot, etc.) discutem falhas e manipulação de informações.";https://en.wikipedia.org/wiki/2003_invasion_of_Iraq#Weapons_of_mass_destruction;https://www.gov.uk/government/publications/the-report-of-the-iraq-inquiry-chilcot-report;Média;Extremo;Parcialmente confirmada;;;
Ruby Ridge standoff (teorias de ação governamental);1992;"Confronto entre forças federais e tupple; gerou teorias sobre uso excessivo de força e encobrimento; investigações criticaram operações.";https://en.wikipedia.org/wiki/Ruby_Ridge;https://www.britannica.com/event/Ruby-Ridge-standoff;Média;Moderado;Parcialmente confirmada;;;
Waco Siege (1993) — teorias sobre operação governamental;19 Apr 1993;"Cerco a complexo do Branch Davidian que terminou em fogo e mortes; debate sobre ação do governo e cobertura mediática gerou teorias e inquéritos.";https://en.wikipedia.org/wiki/Waco_siege;https://www.britannica.com/event/Waco-siege;Média;Alto;Parcialmente confirmada;;;
Jonestown massacre (teorias sobre crescimentos e potências por trás);18 Nov 1978;"Envolvimento de Jim Jones e seguidores; teorias menores sobre manipulações externas surgiram, mas o evento é documentado como suicídio/assassinato em massa.";https://en.wikipedia.org/wiki/Jonestown;https://www.britannica.com/event/Jonestown;Alta (documentado);Alto;Comprovada;;;
'Paul is dead' (conspiração sobre Paul McCartney);1969;"Rumores de que Paul McCartney teria morrido e sido substituído por sósia; teoria já desacreditada.";https://en.wikipedia.org/wiki/Paul_is_dead;https://www.bbc.com/news/entertainment-arts-37216063;Baixa;Baixo;Desmentida;;;
Shakespeare authorship question (teoria conspiratória);séculos 16–17 / modern revival;"Alegações de que Shakespeare não escreveu as obras atribuídas a ele; vários candidatos alternativos sugeridos, sem consenso acadêmico.";https://en.wikipedia.org/wiki/Shakespeare_authorship_question;https://www.britannica.com/topic/William-Shakespeare;Baixa;Moderado;Desmentida?;;;
Black helicopters (teoria antigovernamental);1960s–present;"Lenda de helicópteros negros usados por forças internacionais para impor controle; expressão para teorias antigoverno";https://en.wikipedia.org/wiki/Black_helicopter;https://www.theatlantic.com/magazine/archive/2011/12/you-are-being-watched/308690/;Baixa;Baixo;Desmentida;;;
Great Replacement (teoria de substituição demográfica);século XXI (popularizada 2010s);"Ideia conspiratória de que elites promovem imigração para substituir populações nativas; ligada a ideologias de extrema?direita.";https://en.wikipedia.org/wiki/Great_Replacement;https://www.adl.org/resources/backgrounders/great-replacement-conspiracy-theory;Baixa;Extremo;Desmentida;;;
Deep state (teoria de 'estado profundo');século XXI;"Conceito de que burocracias e forças ocultas controlam decisões independentemente de governos eleitos; usado politicamente.";https://en.wikipedia.org/wiki/Deep_state;https://www.britannica.com/topic/deep-state;Baixa;Moderado;Desmentida;;;
Barack Obama 'birther' conspiracy;2008–2016;"Alegações de que Obama não nasceu nos EUA; amplamente desacreditada e desmentida por certidão e checagem de fatos.";https://en.wikipedia.org/wiki/Obama_birth_certificate_conspiracy_theories;https://www.bbc.com/news/world-us-canada-39378280;Baixa;Moderado;Desmentida;;;
2016 US election conspiracies / Pizzagate overlap;2016;"Teorias sobre manipulação eleitoral e elite; incluiu Pizzagate e outras acusações online.";https://en.wikipedia.org/wiki/2016_United_States_presidential_election_conspiracy_theories;https://www.nytimes.com/2016/12/08/us/politics/conspiracy-theories-pizzagate.html;Baixa;Alto;Desmentida;;;
2020 US election fraud claims;Nov 2020–2021;"Alegações amplas de fraude sem evidência suficiente em tribunais; resultaram em desafios políticos e violência (ex. 6 Jan 2021).";https://en.wikipedia.org/wiki/2020_United_States_presidential_election_conspiracy_theories;https://www.reuters.com/article/us-usa-election-factbox/factbox-what-election-fraud-claims-have-been-made-and-how-have-they-fared-in-court-idUSKBN27P2ET;Baixa;Extremo;Desmentida;;;
JFK Jr. death theories (1999 plane crash);16 Jul 1999;"Morte em acidente aéreo gerou teorias de que teria sido assassinado; investigação oficial apontou acidente.";https://en.wikipedia.org/wiki/Death_of_John_F._Kennedy_Jr._conspiracy_theories;https://www.snopes.com/fact-check/jfk-jr-plane-crash/;Baixa;Moderado;Desmentida;;;
Marilyn Monroe death conspiracy theories;5 Aug 1962;"Teorias sobre assassinato envolvendo Kennedys; investigações oficiais catalogaram overdose de barbitúricos, embora dúvidas persistam.";https://en.wikipedia.org/wiki/Death_of_Marilyn_Monroe;https://www.britannica.com/biography/Marilyn-Monroe;Baixa;Moderado;Inconclusiva;;;
Kurt Cobain death conspiracy theories;5 Apr 1994;"Teorias de assassinato vs suicídio; investigações e coroners apontam suicídio, mas grupos céticos questionam evidências.";https://en.wikipedia.org/wiki/Death_of_Kurt_Cobain;https://www.bbc.com/news/entertainment-arts-27200113;Baixa;Moderado;Desmentida;;;
Black Dahlia (Elizabeth Short) murder theories;1947;"Misterioso assassinato de Elizabeth Short com várias teorias sobre autorias e encobrimentos; caso permanece sem solução definitiva.";https://en.wikipedia.org/wiki/Black_Dahlia;https://www.britannica.com/event/Black-Dahlia-murder;Baixa;Moderado;Inconclusiva;;;
JonBenet Ramsey disappearance/murder theories;25 Dec 1996;"Caso de criança famosa com múltiplas teorias (intruso, família, encobrimento); investigação e cobertura midiática complexa.";https://en.wikipedia.org/wiki/JonBenet_Ramsey;https://www.britannica.com/biography/JonBenet-Ramsey;Baixa;Moderado;Inconclusiva;;;
Madeleine McCann disappearance theories;3 May 2007;"Desaparecimento que gerou alegações variadas e teorias internacionais; investigações oficiais e cobertura intensa, sem conclusão final.";https://en.wikipedia.org/wiki/Disappearance_of_Madeleine_McCann;https://www.bbc.com/news/uk-39933673;Baixa;Moderado;Inconclusiva;;;
Loch Ness Monster (teorias de encobrimento e farsa);séculos (popularizado no séc. XX);"Relatos de criatura no lago Loch Ness; investigações científicas consideram explicações naturais e fraudes documentadas.";https://en.wikipedia.org/wiki/Loch_Ness_Monster;https://www.britannica.com/place/Loch-Ness;Baixa;Baixo;Desmentida;;;
Bermuda Triangle disappearances;século XX;"Região associada a desaparecimentos; análises meteorológicas e erros humanos explicam a maioria dos casos.";https://en.wikipedia.org/wiki/Bermuda_Triangle;https://oceanservice.noaa.gov/facts/bermudatri.html;Baixa;Baixo;Desmentida;;;
Flat Earth movement (convicção que Terra é plana);histórico ? revival c.2000s;"Movimento que alega que a Terra é plana e cientistas/governos encobrem; rejeitado por evidência científica abundante.";https://en.wikipedia.org/wiki/Flat_Earth;https://www.nature.com/articles/d41586-022-03917-3;Baixa;Baixo;Desmentida;;;
Reptilian elite (David Icke);décadas recentes;"Teoria de que elites são reptilianos metamórficos controlando governos; considerada pseudociência/fantasia.";https://en.wikipedia.org/wiki/David_Icke;https://www.theguardian.com/commentisfree/2016/sep/30/david-icke-reptiles-conspiracy-theories;Baixa;Baixo;Desmentida;;;
Holocaust denial (teoria de negação do genocídio);pós-1945;"Negacionismo que afirma falsidades sobre o Holocausto; rejeitado por vasta documentação e testemunhos.";https://en.wikipedia.org/wiki/Holocaust_denomination;https://encyclopedia.ushmm.org/content/en/article/holocaust-denial-and-distortion;Alta (documentação abundante);Extremo;Desmentida;;;
Satanic Panic / RITUAL ABUSE accusations;1980s–1990s;Pânico moral que levou a acusações de abuso ritual satânico geralmente infundadas e condenações controversas.;https://en.wikipedia.org/wiki/Satanic_panic;https://www.britannica.com/event/satanic-panic;Média;Alto;Parcialmente confirmada;;;
Birds Aren't Real (satirical conspiracy);2017–present;Movimento satírico que parodia teorias conspiratórias afirmando que pássaros foram substituídos por drones.;https://en.wikipedia.org/wiki/Birds_Aren%27t_Real;https://www.washingtonpost.com/lifestyle/2021/11/15/birds-arent-real-movement/;Baixa;Baixo;Desmentida (satírico);;;
Boston Marathon bombing conspiracy theories;15 Apr 2013;"Teorias alternativas sobre autores e encobrimentos surgiram online; investigação oficial responsabilizou os irmãos Tsarnaev.";https://en.wikipedia.org/wiki/2013_Boston_Marathon_bombing_conspiracy_theories;https://www.fbi.gov/history/famous-cases/boston-marathon-bombing;Baixa;Moderado;Desmentida;;;
2004 Madrid train bombings conspiracy theories;11 Mar 2004;"Teorias sobre autoria e possíveis encobrimentos políticas surgiram; investigações apontaram militantes islâmicos como responsáveis.";https://en.wikipedia.org/wiki/2004_Madrid_train_bombings_conspiracy_theories;https://www.bbc.com/news/world-europe-26405908;Baixa;Alto;Desmentida;;;
7/7 London bombings conspiracy theories;7 Jul 2005;"Teorias alternativas sobre origem dos atentados; inquéritos e investigações oficiais definiram autores terroristas sem provas de conspiração governamental.";https://en.wikipedia.org/wiki/7_July_2005_London_bombings_conspiracy_theories;https://www.bbc.com/news/uk-33222587;Baixa;Moderado;Desmentida;;;
Lusitania sinking (1915) — theories about sabotage/intentional sinking;7 May 1915;"Algumas teorias alegaram conspiração ou conhecimento prévio relacionado ao transporte de munições; historiografia discute contexto militar e riscos.";https://en.wikipedia.org/wiki/RMS_Lusitania;https://www.britannica.com/event/Lusitania-sinking;Média;Moderado;Parcialmente confirmada;;;
Assassination of Archduke Franz Ferdinand (1914) — theories of broader conspiracy;28 Jun 1914;"Atentado por Gavrilo Princip; narrativas conspiratórias sobre conivência sérvia existiram e influenciaram a escalada para guerra.";https://en.wikipedia.org/wiki/Assassination_of_Archduke_Franz_Ferdinand_of_Austria;https://www.britannica.com/event/assassination-of-Archduke-Franz-Ferdinand;Média;Extremo;Parcialmente confirmada;;;
Chernobyl disaster conspiracy theories;26 Apr 1986;"Teorias sobre encobrimentos e causas deliberadas; investigação aponta erro humano e falhas de projeto nuclear.";https://en.wikipedia.org/wiki/Chernobyl_disaster_conspiracy_theories;https://www.bbc.com/news/world-europe-40292349;Baixa;Alto;Desmentida;;;
Fukushima disaster conspiracy theories;11 Mar 2011;"Teorias sobre manipulação e encobrimentos; relatórios técnicos atribuem causa a tsunami e falhas, com debates sobre resposta e transparência.";https://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster;https://www.iaea.org/newscenter/focus/fukushima;Baixa;Moderado;Desmentida;;;
Bhopal disaster (conspiracy/coverup allegations);3 Dec 1984;"Acidente industrial na Índia gerou alegações de negligência corporativa e encobrimento; responsabilização legal e debates contínuos.";https://en.wikipedia.org/wiki/Bhopal_disaster;https://www.amnesty.org/en/latest/news/2014/12/bhopal-30-years-justice-not-fully-served/;Alta (evidência de negligência corporativa);Extremo;Parcialmente confirmada;;;
Kursk submarine sinking conspiracy theories;2000;"Afundamento do submarino russo levantou teorias sobre colisões, ataque estrangeiro ou falha interna; investigações apontaram acidente e atrasos na resposta.";https://en.wikipedia.org/wiki/Kursk_submarine_disaster;https://www.bbc.com/news/world-europe-11271802;Média;Moderado;Parcialmente confirmada;;;
Death of Pope John Paul I (1978) conspiracy claims;1978;"Curta pontuação papal e teorias de envenenamento / conspiração no Vaticano; inquéritos e análises públicas não confirmaram assassinato.";https://en.wikipedia.org/wiki/Death_of_Pope_John_Paul_I;https://www.britannica.com/biography/Pope-John-Paul-I;Baixa;Moderado;Inconclusiva;;;
Assassination of Yitzhak Rabin (conspiracy theories);4 Nov 1995;"Oficialmente assassinado por Yigal Amir; teorias apontaram envolvimento maior ou conivência; investigações não confirmaram conspiração estatal.";https://en.wikipedia.org/wiki/Assassination_of_Yitzhak_Rabin;https://www.bbc.com/news/world-middle-east-35270290;Baixa;Alto;Desmentida?;;;
Operation Ajax (1953 Iran coup — once dismissed as rumor, later documented);1953;"Coup apoiado por CIA/MI6 para depor Mossadegh; inicialmente negado, depois documentado — exemplo de teoria que virou fato.";https://en.wikipedia.org/wiki/1953_Iranian_coup_d%27%C3%A9tat;https://nsarchive2.gwu.edu/NSAEBB/NSAEBB435/;Alta (documentado);Alto;Comprovada;;;
Operation PBSuccess (1954 Guatemala coup);1954;"Operação da CIA para derrubar governo guatemalteco; confirmado por documentos desclassificados.";https://en.wikipedia.org/wiki/Operation_PBSuccess;https://www.britannica.com/event/Operation-PBSuccess;Alta;Alto;Comprovada;;;
CIA involvement in Chile 1973 coup (Pinochet);1973;"Documentos mostram apoio e encorajamento a golpes contra Allende; inicialmente contestado, depois comprovado por arquivos.";https://en.wikipedia.org/wiki/1973_Chilean_coup_d%27%C3%A9tat;https://nsarchive2.gwu.edu/NSAEBB/NSAEBB8/;Alta;Alto;Comprovada;;;
Project Blue Book (UFO investigations);1947–1969;"Programa oficial de investigação de avistamentos de OVNIs da Força Aérea americana; alimentou especulações e teorias de encobrimento.";https://en.wikipedia.org/wiki/Project_Blue_Book;https://www.archives.gov/research/military/air-force/bluebook;Alta (documentado);Moderado;Parcialmente confirmada;;;
Katyn massacre coverup (1930s–1990s disclosures);1940 (massacre) / exps 1940s–1990s;"Execução em massa de oficiais poloneses; inicialmente atribuída aos nazistas, depois documentado o envolvimento soviético — encobrimento estatal.";https://en.wikipedia.org/wiki/Katyn_massacre;https://www.britannica.com/event/Katyn-massacre;Alta;Extremo;Comprovada;;;
My Lai Massacre (cobertura e encobrimento inicial);16 Mar 1968;"Massacre de civis vietnamitas por tropas americanas; tentativas iniciais de encobrimento e negação levaram a investigações e julgamentos.";https://en.wikipedia.org/wiki/My_Lai_massacre;https://www.britannica.com/event/My-Lai-massacre;Alta;Extremo;Comprovada;;;
Project MKOFTEN and lesser-known CIA programs (teorias e documentos);Cold War era;"Diversos programas de inteligência e pesquisa humana geraram suspeitas e teorias; alguns foram desclassificados e confirmados parcialmente.";https://en.wikipedia.org/wiki/Project_MKLOTEN;https://www.cia.gov/readingroom;Média;Moderado;Parcialmente confirmada;;;
